uid,x0,y0,x1,y1
1,412.1060,418.2560,401.7315,479.2558
2,534.8676,454.6805,529.5196,479.4766
3,459.0685,456.6023,495.0627,479.2473
4,144.7556,131.3137,320.5562,186.5514
5,326.8502,377.6563,320.2777,400.2064
6,120.1727,271.3355,285.3525,302.2347
7,393.4656,227.2527,473.5339,251.0823
8,406.8346,452.6411,457.8648,456.5935
9,385.9577,210.5405,486.2989,242.4375
10,394.4514,228.4806,360.3652,382.2702
11,381.3861,416.3971,412.4940,418.4118
12,229.2745,433.2947,222.8850,461.8580
13,320.0122,400.7874,373.8711,440.9302
14,383.7638,210.3410,353.9664,353.6694
15,473.9575,248.2894,431.2228,454.4732
16,319.4315,188.0574,293.0035,311.7997
17,234.1817,391.5531,319.4552,399.6527
18,302.0424,196.8967,279.8115,294.7491
19,326.8322,378.5800,356.1447,380.4385
20,0.7236,339.0740,50.3995,345.3445
21,638.6655,199.3917,513.2429,202.6557
22,106.8609,278.6765,290.2832,312.4841
23,144.0845,131.8381,107.4685,277.1281
24,534.9467,455.7250,572.5724,477.4218
25,460.1689,440.3378,527.9767,478.6572
26,157.9547,155.8998,304.1635,198.6632
27,241.2733,334.1193,352.3849,351.5937
28,128.5047,263.4247,279.8011,294.3557
29,509.3487,200.2596,463.2068,457.4857
30,31.5220,422.4807,371.2244,441.5354
31,326.4680,378.0265,380.7207,415.1274
32,49.9250,347.2075,17.3269,479.8483
33,358.1310,380.6759,413.8784,416.7990
34,1.2061,385.5510,33.1428,388.0586
35,371.8457,440.7636,362.9330,479.0102
36,153.1584,144.6899,118.7358,271.9849
37,202.3636,392.6446,229.6811,433.4924
38,26.3944,458.6153,366.0439,465.7114
39,535.2042,453.2336,591.8875,455.7184
40,152.6544,143.8576,311.0467,192.3317
41,380.4734,416.3161,365.6115,479.3524
42,485.6012,240.5644,442.7696,455.3943
43,6.5815,298.0979,118.7094,315.6461
44,356.2665,357.1422,356.4047,380.3060
45,175.6827,389.5217,231.4742,394.2074
46,46.5240,373.9798,95.9936,378.8622
47,124.5463,305.9854,98.1387,380.7301
48,192.9681,324.6571,171.1434,397.0142
49,6.2231,302.5404,1.6751,308.8805
50,590.9423,425.9599,595.7062,479.4090
51,309.9819,193.6005,286.0985,299.0578
52,638.2985,199.1113,510.0080,202.6214
53,231.5987,432.5818,371.3012,441.0202
54,239.6998,338.5871,354.6299,356.6720
55,25.5564,457.3495,218.6431,461.4203
56,8.8087,11.1269,526.1431,209.3338
57,95.7199,379.7195,171.4436,396.2303
58,327.6088,379.9870,379.3449,416.5048
59,309.7696,195.7166,285.4935,301.3963
60,177.1945,387.4592,319.1844,398.6450
61,357.1786,380.7727,411.2909,416.0235
62,44.5552,381.2969,318.9682,395.8589
63,0.0000,339.1215,49.2320,345.1097
64,483.6055,243.8731,443.9969,455.4129
