uid,x0,y0,x1,y1
1,417.5985,418.3412,407.0797,479.1759
2,0.6126,339.7798,55.5386,346.2726
3,388.0337,210.7092,358.3959,353.6989
4,638.8932,197.8544,515.8694,202.2224
5,464.6561,456.6695,500.1554,479.3101
6,398.0249,226.9979,478.2108,251.0834
7,540.9460,454.8157,535.8214,479.4662
8,149.2365,131.9924,324.2799,187.6734
9,412.1924,453.0425,463.4509,456.5023
10,125.5633,272.3927,289.8773,302.8071
11,234.6595,433.5867,227.6678,462.5186
12,331.7686,378.0717,325.2679,400.4097
13,386.3727,416.4688,417.7181,418.7579
14,325.0428,400.6381,379.1507,441.3295
15,331.8368,378.8501,361.3139,380.7396
16,39.6267,423.1905,375.9383,441.3062
17,478.8141,248.6011,436.3016,454.1432
18,239.3339,391.9558,324.7149,400.1841
19,399.2646,228.6688,364.8588,382.1913
20,206.9656,393.2470,235.4225,433.4611
21,134.9582,265.1630,282.8030,293.8194
22,32.3952,459.3177,371.7463,465.9369
23,390.6923,210.5219,490.8998,242.2249
24,362.8246,380.9077,419.3957,416.7220
25,57.5707,348.7440,24.9699,479.2316
26,324.5574,186.5034,296.9127,311.8191
27,314.1545,194.5793,289.3031,302.8594
28,110.9353,280.6001,295.9397,313.1364
29,157.4417,145.2513,314.9290,194.2159
30,466.3789,440.1646,535.4089,479.4488
31,540.5726,455.5040,577.4682,477.0510
32,515.3492,200.6319,467.5857,457.0061
33,161.0042,157.1449,307.3942,198.3139
34,304.4816,198.2359,284.3971,293.4384
35,491.0703,240.9512,447.2278,454.5600
36,13.2268,300.3382,123.1124,316.9757
37,331.6018,378.8810,385.4091,414.4194
38,0.7255,385.6932,41.4093,388.8792
39,246.3513,334.7593,357.3520,351.6657
40,12.5113,301.0540,0.0000,339.2570
41,384.7560,416.4418,371.5830,479.2469
42,162.7282,156.6958,135.6928,268.0818
43,378.1505,441.3300,367.9480,478.6983
44,52.5494,374.8408,100.8758,379.4427
45,149.7005,133.0150,111.6704,278.1135
46,542.6686,453.1433,599.1019,455.8831
47,361.2978,356.8228,361.1978,380.6948
48,197.9016,325.3773,176.9004,397.1683
49,181.0789,389.9794,236.9891,394.6969
50,236.6442,433.0444,376.8586,441.3017
51,597.4098,426.4449,604.6155,479.1092
52,389.2971,210.0397,489.4993,242.1903
53,129.7349,306.9082,103.8273,380.8368
54,578.1339,475.9932,577.6706,479.8854
55,52.3042,374.2362,23.9740,478.7766
56,447.3370,456.6442,477.5830,479.4684
57,8.7942,12.1386,535.2941,209.8471
58,101.3009,380.4003,176.2339,396.6021
59,450.5211,439.9023,465.9231,440.8282
60,51.3120,381.9268,325.5515,395.4171
61,464.5847,439.9085,533.9305,478.8204
62,13.1939,312.6219,360.5373,335.5287
63,306.5146,195.5800,284.7973,295.8246
64,331.9863,380.8362,384.9843,415.6315
